_id,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
280,157,157,5th & Main,,  37.540637, -77.439916,,,0,
281,1575,1575,Lombardy & Claiborne,,  37.541209, -77.464181,,,0,
282,1576,1576,Lone & Bruce,,  37.506006, -77.435497,,,0,
283,1577,1577,Lone & Bruce,,  37.505748, -77.435737,,,0,
284,1578,1578,Lone & Harwood,,  37.504291, -77.435364,,,0,
285,1579,1579,Lone & Harwood,,  37.504050, -77.435891,,,0,
286,158,158,5th & Grace,,  37.541996, -77.438604,,,0,place_5G
287,1583,1583,Luray & Newman,,  37.520652, -77.395063,,,0,
288,1585,1585,Lynhaven & Afton,,  37.492100, -77.441828,,,0,
289,1586,1586,Lynhaven & Bellmeade,,  37.492074, -77.441663,,,0,
290,159,159,5th & Hospital,,  37.551959, -77.428787,,,0,
291,1590,1590,Lynhaven & Warwick,,  37.493462, -77.441843,,,0,
292,1591,1591,Lynhaven & Warwick,,  37.493469, -77.442008,,,0,
293,1592,1592,Lynhaven & Wright,,  37.494614, -77.441961,,,0,
294,1593,1593,Lynhaven & Wright,,  37.494448, -77.442126,,,0,
295,1597,1597,M & 27th,,  37.534100, -77.413831,,,0,
296,1598,1598,M & 27th,,  37.534172, -77.413736,,,0,
297,1599,1599,M & 29th,,  37.532663, -77.411600,,,0,
298,16,16,16th & Maury,,  37.515287, -77.444063,,,0,
299,160,160,5th & Hospital,,  37.551732, -77.429238,,,0,
300,1600,1600,M & 30th,,  37.532742, -77.411233,,,0,
301,1606,1606,Main & 9th,,  37.537852, -77.435494,,,0,
302,1607,1607,Main & 11th,,  37.537126, -77.434358,,,0,
303,1608,1608,Main & 13th,,  37.536232, -77.432891,,,0,
304,1609,1609,Main & 13th,,  37.536268, -77.433239,,,0,
305,1610,1610,Main & 14th,,  37.535297, -77.431638,,,0,
306,1612,1612,Main & 15th,,  37.534751, -77.430493,,,0,
307,1613,1613,Main & 15th,,  37.534952, -77.430634,,,0,
308,1614,1614,Main & 17th,,  37.533941, -77.428912,,,0,
309,1616,1616,Main & 18th,,  37.532798, -77.427366,,,0,
310,1617,1617,Main & 18th,,  37.532702, -77.427343,,,0,
311,1618,1618,Main & 1st,,  37.542502, -77.443305,,,0,
312,162,162,5th & I-64,,  37.549695, -77.431223,,,0,
313,1621,1621,Main & 21st,,  37.531046, -77.424705,,,0,
314,1622,1622,Main & 21st,,  37.531310, -77.424753,,,0,
315,1627,1627,Main & 25th,,  37.529273, -77.421533,,,0,
316,1628,1628,Main & 26th,,  37.528448, -77.420200,,,0,
317,163,163,5th & I-64,,  37.548899, -77.432038,,,0,
318,1631,1631,Main & 8th,,  37.538724, -77.436954,,,0,place_8M
319,1633,1633,Main & Adams,,  37.543587, -77.445156,,,0,
320,1634,1634,Main & Allen,,  37.548520, -77.463695,,,0,
321,1635,1635,Main & Laurel,,  37.545948, -77.451145,,,0,
322,1636,1636,Main & Arthur Ashe Boulevard,,  37.552682, -77.475383,,,0,
323,1639,1639,Main & Harrison,,  37.546032, -77.455057,,,0,
324,164,164,7th & Marshall,,  37.542513, -77.434995,,,0,
325,1644,1644,Main & Monroe,,  37.545137, -77.447714,,,0,
326,1646,1646,Main & Plum,,  37.547032, -77.459544,,,0,
327,1647,1647,Main & Robinson,,  37.552209, -77.473115,,,0,
328,1649,1649,Main & Stafford,,  37.551073, -77.470449,,,0,
329,1657,1657,Markel & Byrd,,  37.584841, -77.500159,,,0,
330,1659,1659,Marshall & 22nd,,  37.534087, -77.420857,,,0,
331,166,166,7th & Clay,,  37.543415, -77.434088,,,0,
332,1660,1660,Marshall & 23rd,,  37.533610, -77.419571,,,0,
333,1661,1661,Marshall & 24th,,  37.532759, -77.418695,,,0,
334,1663,1663,Marshall & 25th,,  37.532761, -77.418236,,,0,
335,1664,1664,Marshall & 27th,,  37.531392, -77.416449,,,0,
336,1665,1665,Marshall & 27th,,  37.531387, -77.415935,,,0,
337,1666,1666,Marshall & 29th,,  37.530297, -77.414635,,,0,
338,1667,1667,Marshall & 29th,,  37.530277, -77.414111,,,0,
339,1669,1669,Marshall & 31st,,  37.529182, -77.412766,,,0,
340,167,167,7th & Franklin,,  37.539969, -77.437384,,,0,
341,1670,1670,Marshall & 31st,,  37.529171, -77.412260,,,0,
342,1671,1671,Marshall & 33rd,,  37.528061, -77.410968,,,0,
343,1672,1672,Marshall & 33rd,,  37.528365, -77.411003,,,0,
344,1673,1673,Marshall & 3rd,,  37.544909, -77.438618,,,0,
345,1675,1675,Marshall & 7th,,  37.542512, -77.434613,,,0,
346,1677,1677,Marshall & Chimborazo,,  37.527355, -77.409676,,,0,
347,1678,1678,Marshall & Chimborazo,,  37.527707, -77.409978,,,0,
348,1681,1681,Maury & 12th,,  37.517950, -77.440206,,,0,
349,1682,1682,Maury & 12th,,  37.517782, -77.440735,,,0,
350,1683,1683,Maury & 15th,,  37.515920, -77.443182,,,0,
351,1684,1684,Maury & 15th,,  37.516158, -77.443168,,,0,
352,1685,1685,Maury & 9th,,  37.519328, -77.438303,,,0,
353,1686,1686,RIVERSIDE LOGISTICS,,  37.451863, -77.426294,,,0,
354,1689,1689,McCloy & Idlewood,,  37.551227, -77.483404,,,0,
355,1692,1692,Meadow & Amelia,,  37.539249, -77.471279,,,0,
356,1693,1693,Meadow & Amelia,,  37.539566, -77.471392,,,0,
357,1694,1694,Meadow & Blair,,  37.541994, -77.469899,,,0,
358,1695,1695,Meadow & Clairborne,,  37.542754, -77.469468,,,0,
359,1696,1696,Meadow & Colorado,,  37.537735, -77.472127,,,0,place_MCL
360,1697,1697,Meadow & Colorado,,  37.537534, -77.472394,,,0,
361,17,17,16th & Maury,,  37.515101, -77.444059,,,0,
362,1700,1700,Meadow & Gilbert,,  37.542665, -77.469662,,,0,
363,1701,1701,Meadow & Lakeview,,  37.543377, -77.469063,,,0,
364,1703,1703,Meadow & Nevada,,  37.535113, -77.472880,,,0,
365,1704,1704,Meadow & Nevada,,  37.535452, -77.473090,,,0,
366,1706,1706,Meadow & Pennsylvania,,  37.534362, -77.473363,,,0,
367,1707,1707,Meadow & Powhatan,,  37.540134, -77.470990,,,0,
368,1708,1708,Meadow & Rosewood,,  37.545237, -77.467925,,,0,
369,1709,1709,Meadow & Walker,,  37.541758, -77.470172,,,0,
370,1710,1710,Meadow & Winder,,  37.540611, -77.470549,,,0,
371,1711,1711,Meadowbridge & 2nd,,  37.570436, -77.418360,,,0,
372,1712,1712,Meadowbridge & Arnold,,  37.572818, -77.420121,,,0,
373,1716,1716,Meadowbridge & Gladstone,,  37.574609, -77.421017,,,0,
374,1718,1718,Meadowbridge & Highlandview,,  37.571080, -77.418973,,,0,
